2019-03-25 15:22:32.851 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 47
2019-03-25 15:22:32.853 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 47
2019-03-25 15:22:32.853 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 48
2019-03-25 15:22:32.854 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 48
2019-03-25 15:22:32.854 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 49
2019-03-25 15:22:32.856 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 49
2019-03-25 15:22:32.856 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 50
2019-03-25 15:22:32.858 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 50
2019-03-25 15:22:32.858 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 51
2019-03-25 15:22:32.859 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 51
2019-03-25 15:22:32.859 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 52
2019-03-25 15:22:32.861 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 52
2019-03-25 15:22:32.861 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 53
2019-03-25 15:22:32.862 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 53
2019-03-25 15:22:32.863 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 54
2019-03-25 15:22:32.864 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 54
2019-03-25 15:22:32.864 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 55
2019-03-25 15:22:32.866 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 55
2019-03-25 15:22:32.866 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 56
2019-03-25 15:22:32.868 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 56
2019-03-25 15:22:32.868 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 57
2019-03-25 15:22:32.870 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 57
2019-03-25 15:22:32.870 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 58
2019-03-25 15:22:32.872 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 58
2019-03-25 15:22:32.873 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 59
2019-03-25 15:22:32.877 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 59
2019-03-25 15:22:32.877 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 60
2019-03-25 15:22:32.879 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 60
2019-03-25 15:22:32.879 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 61
2019-03-25 15:22:32.881 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 61
2019-03-25 15:22:32.881 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 62
2019-03-25 15:22:32.884 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 62
2019-03-25 15:22:32.884 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 63
2019-03-25 15:22:32.887 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 63
2019-03-25 15:22:32.887 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 64
2019-03-25 15:22:32.890 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 64
2019-03-25 15:22:32.890 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 65
2019-03-25 15:22:32.892 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 65
2019-03-25 15:22:32.892 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 66
2019-03-25 15:22:32.894 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 66
2019-03-25 15:22:32.895 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 67
2019-03-25 15:22:32.899 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 67
2019-03-25 15:22:32.899 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 68
2019-03-25 15:22:32.902 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 68
2019-03-25 15:22:32.902 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 69
2019-03-25 15:22:32.905 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 69
2019-03-25 15:22:32.905 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 70
2019-03-25 15:22:32.908 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 70
2019-03-25 15:22:32.908 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 71
2019-03-25 15:22:32.911 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 71
2019-03-25 15:22:32.911 8938-9159/com.realmdemo I/ReactNativeJS: Inserting Record: 72
2019-03-25 15:22:32.914 8938-9159/com.realmdemo I/ReactNativeJS: Inserted Record: 72
